pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,49.05067632399732,50.03684766596416,50.03684766596416,50.03684766596416,50.03684766596416,50.05361184896901,51.03964158898452,51.03964158898452,c,1,0.2459437500219792,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,2,3,11,3,,,,,51.30655983299948,52.292758247000165,52.292758247000165,52.292758247000165,52.292758247000165,52.31000633700751,53.29551582300337,53.29551582300337,z,1,0.22330275503918529,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,3,0,12,0,,,,,53.546274767955765,54.53200214297976,54.53200214297976,54.53200214297976,54.53200214297976,54.54917656199541,55.535134308971465,55.535134308971465,x,1,0.2870802620309405,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,3,1,13,1,,,,,55.85210455401102,56.83863591396948,56.83863591396948,56.83863591396948,56.83863591396948,56.8555309639778,57.84174029401038,57.84174029401038,v,1,0.2631611820543185,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,3,2,14,2,,,,,58.124781880003866,59.1108855799539,59.1108855799539,59.1108855799539,59.1108855799539,59.12778094399255,60.114164489961695,60.114164489961695,c,1,0.3902174740214832,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,3,3,15,3,,,,,60.53133024700219,61.51763255399419,61.51763255399419,61.51763255399419,61.51763255399419,61.53407239995431,62.52007176098414,62.52007176098414,z,1,0.28302704403176904,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,4,0,16,0,,,,,62.820731209998485,63.80688749998808,63.80688749998808,63.80688749998808,63.80688749998808,63.82373317400925,64.80945583299035,64.80945583299035,x,1,0.23072893702192232,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,4,1,17,1,,,,,65.06022769998526,66.0462136589922,66.0462136589922,66.0462136589922,66.0462136589922,66.06289523898158,67.048893707979,67.048893707979,v,1,0.26750488503603265,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,4,2,18,2,,,,,67.3327855989919,68.318928957975,68.318928957975,68.318928957975,68.318928957975,68.33566966396756,69.32203292899067,69.32203292899067,c,1,0.23495460802223533,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,4,3,19,3,,,,,69.58899901498808,70.57510276400717,70.57510276400717,70.57510276400717,70.57510276400717,70.59178620099556,71.57755558000645,71.57755558000645,z,1,0.2518430660129525,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,5,0,20,0,,,,,71.8616783739999,72.84784782200586,72.84784782200586,72.84784782200586,72.84784782200586,72.86444840498734,73.85060311399866,73.85060311399866,x,1,0.2527947290218435,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,5,1,21,1,,,,,74.13435619696975,75.12054745695787,75.12054745695787,75.12054745695787,75.12054745695787,75.13695015897974,76.12294574896805,76.12294574896805,v,1,0.25824381603160873,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,5,2,22,2,,,,,76.40706447698176,77.39316335896729,77.39316335896729,77.39316335896729,77.39316335896729,77.4099537099828,78.39619448897429,78.39619448897429,c,1,0.24042093707248569,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,5,3,23,3,,,,,78.663165009988,79.64918347197818,79.64918347197818,79.64918347197818,79.64918347197818,79.66610793495784,80.65174424799625,80.65174424799625,z,1,0.2384281920385547,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,6,0,24,0,,,,,80.9191295169876,81.90513592096977,81.90513592096977,81.90513592096977,81.90513592096977,81.92226254200796,82.90813865198288,82.90813865198288,x,1,0.24910430406453088,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,6,1,25,1,,,,,83.1752027819748,84.16089888697024,84.16089888697024,84.16089888697024,84.16089888697024,84.1780726040015,85.16382282000268,85.16382282000268,v,1,0.3242576530901715,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,6,2,26,2,,,,,85.5148331039818,86.50132984499214,86.50132984499214,86.50132984499214,86.50132984499214,86.5177573490073,87.50359358795686,87.50359358795686,c,1,0.18470656499266624,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,6,3,27,3,,,,,87.72075591498287,88.70664773700992,88.70664773700992,88.70664773700992,88.70664773700992,88.72346295800526,89.7094272399554,89.7094272399554,z,1,0.23284174199216068,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,7,0,28,0,,,,,89.96004525496392,90.94645388401113,90.94645388401113,90.94645388401113,90.94645388401113,90.96284459199524,91.94886811700417,91.94886811700417,x,1,0.2688593670609407,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,7,1,29,1,,,,,92.24935074098175,93.2352553079836,93.2352553079836,93.2352553079836,93.2352553079836,93.25301894400036,94.23832556698471,94.23832556698471,v,1,0.26744502002839,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,7,2,30,2,,,,,94.52215480996529,95.50779841298936,95.50779841298936,95.50779841298936,95.50779841298936,95.52501254499657,96.51068554999074,96.51068554999074,c,1,0.2695204990450293,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,7,3,31,3,,,,,96.811561229988,97.81448782799998,97.81448782799998,97.81448782799998,97.81448782799998,97.81448782799998,98.8005575639545,98.8005575639545,z,1,0.2741245480719954,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,8,0,32,0,,,,,99.10105804097839,100.0873796849628,100.0873796849628,100.0873796849628,100.0873796849628,100.10408781399019,101.09008183999686,101.09008183999686,x,1,0.3558110099984333,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,8,1,33,1,,,,,101.47385054797633,102.46019742195494,102.46019742195494,102.46019742195494,102.46019742195494,102.47684009600198,103.4627875709557,103.4627875709557,v,1,0.2562233630451374,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,8,2,34,2,,,,,103.74685085000237,104.73262343899114,104.73262343899114,104.73262343899114,104.73262343899114,104.74956295400625,105.73550260800403,105.73550260800403,c,1,0.27817776502342895,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,8,3,35,3,,,,,106.03644879796775,107.02230666700052,107.02230666700052,107.02230666700052,107.02230666700052,107.03901132399915,108.02495801897021,108.02495801897021,z,1,0.268747054040432,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
